date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:22	120/120	---MC-	200	added ('OK')	text/plain	date:Fri,%2013%20Jan%202023%2014:44:18%20GMT	https://operativereview.com/robots.txt		(from )
22:44:23	66404/66404	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2014:44:19%20GMT	https://operativereview.com/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/index.html	(from )
22:44:24	1088/1088	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2012%20Jan%202023%2023:00:47%20GMT	https://operativereview.com/feed/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/feed/index.html	(from https://operativereview.com/)
22:44:24	742/742	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2012%20Jan%202023%2023:00:47%20GMT	https://operativereview.com/comments/feed/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/comments/feed/index.html	(from https://operativereview.com/)
22:44:25	217/217	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2007:18:16%20GMT	https://operativereview.com/wp-includes/css/classic-themes.min.css?ver=1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-includes/css/classic-themes.min68b3.css	(from https://operativereview.com/)
22:44:25	94889/94889	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202022%2020:03:58%20GMT	https://operativereview.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://operativereview.com/)
22:44:26	13766/13766	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:04:29%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/custom-frontend-legacy.min.css?ver=3.9.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/custom-frontend-legacy.min2e46.css	(from https://operativereview.com/)
22:44:28	3468/3468	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Dec%202022%2022:51:18%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/post-128.css?ver=1670367078	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/post-128669a.css	(from https://operativereview.com/)
22:44:28	163400/163400	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:04:29%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1654135469	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/custom-frontend.min8f0b.css	(from https://operativereview.com/)
22:44:29	59344/59344	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:03:43%20GMT	https://operativereview.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.15.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	(from https://operativereview.com/)
22:44:30	10927/10927	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:03:43%20GMT	https://operativereview.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from https://operativereview.com/)
22:44:32	5396/5396	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2019:41:17%20GMT	https://operativereview.com/wp-content/plugins/easy-fancybox/fancybox/1.5.4/jquery.fancybox.min.css?ver=6.1.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/easy-fancybox/fancybox/1.5.4/jquery.fancybox.min6a4d.css	(from https://operativereview.com/)
22:44:33	177124/177124	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:03:43%20GMT	https://operativereview.com/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.3.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/themes/oceanwp/assets/css/style.mind617.css	(from https://operativereview.com/)
22:44:33	19279/19279	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2020:12:03%20GMT	https://operativereview.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://operativereview.com/)
22:44:33	1855/1855	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:04:30%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/post-6.css?ver=1654135470	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/post-6e9a6.css	(from https://operativereview.com/)
22:44:36	3754/3754	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Oct%202022%2021:33:43%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/post-6750.css?ver=1666301623	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/post-675028fd.css	(from https://operativereview.com/)
22:44:37	102746/102746	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:04:30%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/global.css?ver=1654135470	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/globale9a6.css	(from https://operativereview.com/)
22:44:37	3509/3509	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2019:41:31%20GMT	https://operativereview.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.5.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min4245.css	(from https://operativereview.com/)
22:44:39	51623/51623	---M--	200	added ('OK')	text/css	date:Fri,%2013%20Jan%202023%2014:42:04%20GMT	https://operativereview.com/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=6.1.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/ocean-extra/assets/css/widgets6a4d.css	(from https://operativereview.com/)
22:44:39	480902/480902	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2002:04:30%20GMT	https://operativereview.com/wp-content/uploads/elementor/css/custom-pro-frontend.min.css?ver=1654135470	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/elementor/css/custom-pro-frontend.mine9a6.css	(from https://operativereview.com/)
22:44:39	5293/5293	---M--	200	added ('OK')	text/css	date:Sun,%2003%20Jul%202022%2019:36:55%20GMT	https://operativereview.com/wp-content/plugins/ocean-sticky-header/assets/css/style.min.css?ver=6.1.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/ocean-sticky-header/assets/css/style.min6a4d.css	(from https://operativereview.com/)
22:44:40	57912/57912	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2020:12:03%20GMT	https://operativereview.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://operativereview.com/)
22:44:41	675/675	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2020:12:03%20GMT	https://operativereview.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://operativereview.com/)
22:44:42	11898/11898	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Jan%202023%2014:41:59%20GMT	https://operativereview.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min.js?ver=8.12.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend-gtag.min79da.js	(from https://operativereview.com/)
22:44:44	89684/89684	---M--	200	added ('OK')	application/javascript	date:Wed,%2002%20Nov%202022%2007:18:15%20GMT	https://operativereview.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://operativereview.com/)
22:44:45	11224/11224	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Dec%202020%2020:23:31%20GMT	https://operativereview.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://operativereview.com/)
22:44:47	5553/5553	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Jan%202023%2014:44:46%20GMT	https://operativereview.com/wp-json/wp/v2/pages/6750	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-json/wp/v2/pages/6750.json	(from https://operativereview.com/)
22:44:48	828/828	---M--	200	added ('OK')	text/xml	date:Fri,%2013%20Jan%202023%2014:44:44%20GMT	https://operativereview.com/xmlrpc.php?rsd	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/xmlrpc0db0.php	(from https://operativereview.com/)
22:44:49	219289/219289	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Jan%202023%2014:44:46%20GMT	https://operativereview.com/wp-json/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-json/index.html	(from https://operativereview.com/)
22:44:49	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Fri,%2013%20Jan%202023%2014:44:49%20GMT	https://operativereview.com/wp-includes/wlwmanifest.xml	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-includes/wlwmanifest.html	(from https://operativereview.com/)
22:44:50	2384/2384	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Jan%202023%2014:44:49%20GMT	https://operativereview.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Foperativereview.com%2F	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-json/oembed/1.0/embedb908.json	(from https://operativereview.com/)
22:44:52	2459/2459	---MC-	200	added ('OK')	text/xml	date:Fri,%2013%20Jan%202023%2014:44:51%20GMT	https://operativereview.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Foperativereview.com%2F&format=xml	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-json/oembed/1.0/embed6c56	(from https://operativereview.com/)
22:44:53	93062/93062	---M--	200	added ('OK')	image/x-icon	date:Sat,%2021%20Aug%202021%2021:29:37%20GMT	https://operativereview.com/wp-content/uploads/2021/08/Square-Logo-150x150.ico	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/2021/08/Square-Logo-150x150.ico	(from https://operativereview.com/)
22:44:53	14859/14859	---M--	200	added ('OK')	image/x-icon	date:Sat,%2021%20Aug%202021%2021:29:37%20GMT	https://operativereview.com/wp-content/uploads/2021/08/Square-Logo.ico	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/2021/08/Square-Logo.ico	(from https://operativereview.com/)
22:44:53	22933/22933	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2004%20Sep%202021%2009:14:32%20GMT	https://operativereview.com/wp-content/uploads/2021/09/Logo-Vector-Wh.svg	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/2021/09/Logo-Vector-Wh.svg	(from https://operativereview.com/)
22:44:55	60219/60219	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2004%20Sep%202021%2008:34:56%20GMT	https://operativereview.com/wp-content/uploads/2021/09/Logo-Vector-Color.svg	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/uploads/2021/09/Logo-Vector-Color.svg	(from https://operativereview.com/)
22:44:56	70354/70354	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2014:44:51%20GMT	https://operativereview.com/testing-menu/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/testing-menu/index.html	(from https://operativereview.com/)
22:44:56	68751/68751	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2014:44:52%20GMT	https://operativereview.com/subjects/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/subjects/index.html	(from https://operativereview.com/)
22:44:56	69268/69268	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2014:44:52%20GMT	https://operativereview.com/on-call/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/on-call/index.html	(from https://operativereview.com/)
22:44:56	18468/18468	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jan%202023%2020:12:03%20GMT	https://operativereview.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.9.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/plugins/elementor/assets/lib/animations/animations.min2e46.css	(from https://operativereview.com/)
22:44:57	5629/5629	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Dec%202020%2020:23:31%20GMT	https://operativereview.com/wp-includes/js/imagesloaded.min.js?ver=4.1.4	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-includes/js/imagesloaded.mineda1.js	(from https://operativereview.com/)
22:44:57	71124/71124	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jan%202023%2014:44:53%20GMT	https://operativereview.com/about-us/	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/about-us/index.html	(from https://operativereview.com/)
22:44:58	19789/19789	---M--	200	added ('OK')	application/javascript	date:Thu,%2002%20Jun%202022%2002:03:43%20GMT	https://operativereview.com/wp-content/themes/oceanwp/assets/js/theme.min.js?ver=3.3.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/themes/oceanwp/assets/js/theme.mind617.js	(from https://operativereview.com/)
22:44:59	14087/14087	---M--	200	added ('OK')	application/javascript	date:Thu,%2002%20Jun%202022%2002:03:43%20GMT	https://operativereview.com/wp-content/themes/oceanwp/assets/js/drop-down-mobile-menu.min.js?ver=3.3.2	D:/School/Sur_OperativeReview/Operative%20Review/operativereview.com/wp-content/themes/oceanwp/assets/js/drop-down-mobile-menu.mind617.js	(from https://operativereview.com/)
